rebalance_days,cash_reserve,top_n,final_equity,cagr,max_drawdown,rebalances
10,1.0,1,4299675.61,28.27,59.36,277
10,0.95,1,3731340.51,27.1,56.98,277
3,1.0,1,3690899.49,27.01,59.18,936
3,0.95,1,3256739.72,25.99,57.09,936
10,0.9,1,3220681.01,25.9,54.52,277
3,0.9,1,2855642.06,24.93,54.93,936
10,0.85,1,2764697.76,24.67,51.99,277
3,0.85,1,2486992.55,23.82,52.68,936
10,0.8,1,2360400.04,23.41,49.38,277
3,0.8,1,2152302.17,22.68,50.35,936
10,0.75,1,2004402.34,22.12,46.71,277
5,1.0,1,1950834.64,21.9,67.68,553
3,0.75,1,1850358.81,21.49,47.94,936
5,0.95,1,1764132.51,21.12,65.33,553
5,0.9,1,1585955.05,20.29,62.88,553
5,0.85,1,1417782.72,19.42,60.3,553
7,1.0,1,1279495.47,18.64,58.15,400
5,0.8,1,1260363.77,18.52,57.62,553
10,1.0,2,1223283.05,18.29,47.78,277
7,0.95,1,1197258.51,18.13,56.08,400
3,1.0,2,1159026.67,17.88,41.74,936
5,0.75,1,1113931.67,17.58,54.82,553
7,0.9,1,1112127.54,17.57,53.94,400
10,0.95,2,1102774.25,17.51,46.39,277
3,0.95,2,1054296.37,17.17,40.52,936
7,0.85,1,1025646.84,16.96,51.72,400
10,0.9,2,992239.32,16.71,44.91,277
3,0.9,2,956433.29,16.44,39.23,936
7,0.8,1,939057.04,16.3,49.42,400
5,1.0,2,918331.19,16.13,51.37,553
10,0.85,2,890928.95,15.9,43.36,277
3,0.85,2,865426.03,15.69,37.86,936
7,0.75,1,853759.77,15.59,47.03,400
5,0.95,2,847605.77,15.53,49.93,553
10,0.8,2,798172.07,15.09,41.71,277
3,0.8,2,780822.36,14.92,36.41,936
5,0.9,2,780102.54,14.92,48.4,553
5,0.85,2,715659.94,14.28,46.78,553
10,0.75,2,713462.24,14.26,39.97,277
3,0.75,2,702279.22,14.14,34.9,936
7,1.0,2,692410.55,14.04,47.01,400
5,0.8,2,654445.69,13.63,45.07,553
7,0.95,2,645809.86,13.53,45.27,400
7,0.9,2,600962.51,13.0,43.47,400
5,0.75,2,596504.91,12.95,43.26,553
7,0.85,2,557943.35,12.46,41.6,400
7,0.8,2,516410.26,11.91,39.66,400
7,0.75,2,476780.75,11.33,37.65,400
