start,end,final_equity,cagr,max_drawdown,rebalances,removed
2010-01-01,2018-12-31,299865.35,15.83,53.18,149,
2019-01-01,2026-12-31,201859.66,13.13,52.4,103,
2010-01-01,2026-12-31,2145353.85,22.65,53.18,265,
2011-01-01,2026-12-31,1236668.84,19.76,61.3,255,
2012-01-01,2026-12-31,466851.87,12.94,57.42,238,
2013-01-01,2026-12-31,326184.66,10.81,57.42,216,
2014-01-01,2026-12-31,668089.49,18.97,45.77,190,
2015-01-01,2026-12-31,1281466.05,28.66,42.33,176,
2016-01-01,2026-12-31,1175407.74,30.91,46.85,163,
2010-01-01,2026-12-31,1239814.58,18.4,53.99,262,TQQQ
2010-01-01,2026-12-31,689206.87,14.0,48.62,263,SOXL
2010-01-01,2026-12-31,2145353.85,22.65,53.18,265,FNGU
2010-01-01,2026-12-31,1957181.05,21.93,57.97,264,TECL
2010-01-01,2026-12-31,1219485.46,18.27,58.62,250,UPRO
2010-01-01,2026-12-31,1283492.11,18.66,54.51,262,USD
